gpa,attendance,study_hours,math_score,science_score,english_score,assignment_score,sleep_hours,parental_education,extracurricular,result
1.47,57.2,9.65,55.74,72.06,90.24,47.87,6.31,2,1,1
3.73,45.59,5.69,72.02,72.15,55.16,26.3,8.18,1,0,0
2.48,68.75,3.72,35.94,50.71,56.13,59.1,9.81,3,0,1
1.77,69.66,8.78,56.79,48.21,50.84,57.21,6.64,3,0,1
2.06,46.56,8.21,48.28,96.26,52.83,80.07,6.98,1,1,1
2.82,74.85,5.5,96.64,80.94,90.25,37.53,5.32,3,1,1
1.69,35.92,8.18,58.81,38.88,30.74,72.36,6.42,1,0,1
3.6,95.3,3.18,83.39,95.64,60.52,48.0,4.38,2,1,1
3.32,52.2,6.4,57.07,70.77,96.0,53.64,9.15,2,1,1
3.21,37.57,9.15,39.23,53.34,67.98,78.95,4.14,3,0,1
2.41,42.04,3.68,90.42,57.8,61.53,30.37,8.1,3,1,0
2.96,50.62,5.34,30.03,80.78,51.87,50.71,5.64,1,0,0
2.84,52.8,10.01,33.92,56.34,35.17,54.35,6.86,2,1,1
3.02,37.13,8.48,55.51,70.51,45.71,78.68,5.69,2,1,1
1.44,53.16,9.37,78.08,79.73,36.33,39.94,6.4,3,1,1
2.36,47.54,4.35,53.92,43.68,38.87,96.06,7.28,0,0,0
1.32,59.61,10.47,34.64,96.1,41.45,99.83,7.85,2,0,1
2.58,60.04,2.03,52.25,54.93,51.14,86.42,9.64,2,1,1
2.12,57.04,5.69,47.15,59.36,30.77,47.48,5.99,1,1,1
1.6,56.32,5.29,30.38,78.9,96.51,74.79,7.51,1,1,1
1.49,40.83,8.48,67.44,72.61,38.67,31.24,9.41,2,0,0
2.85,36.64,9.59,38.17,60.81,56.82,90.35,5.74,1,1,1
1.68,48.14,7.81,50.12,75.48,91.57,63.7,9.19,0,0,1
3.79,84.18,6.77,74.88,93.2,37.46,38.23,9.75,3,0,1
2.83,99.4,4.77,80.76,86.02,63.85,49.56,9.08,1,0,1
2.17,95.35,5.6,48.44,87.7,89.13,85.06,7.42,0,0,1
2.85,67.77,5.59,53.04,48.09,68.99,90.27,8.33,0,0,1
1.26,69.57,0.7,47.28,59.36,44.72,63.98,6.89,3,0,1
3.88,55.45,5.53,96.98,68.77,81.49,61.02,7.58,1,1,1
2.55,85.31,9.06,43.34,33.09,77.69,81.31,9.85,1,0,1
3.39,84.71,7.59,42.82,83.89,55.35,86.96,5.51,1,0,1
1.43,89.88,8.46,61.15,52.64,33.24,82.36,8.76,0,0,0
2.56,93.21,4.4,43.25,49.78,30.55,53.83,7.04,2,1,1
2.57,63.23,5.79,40.97,48.15,87.78,73.14,5.06,0,1,1
3.83,84.85,0.83,36.71,49.84,52.51,89.3,7.86,3,1,1
2.8,87.42,4.33,74.81,53.66,39.64,36.38,8.75,1,0,1
2.53,55.05,5.24,72.85,72.34,66.3,54.11,7.41,0,1,0
1.95,95.4,3.05,75.51,70.85,94.46,29.25,9.02,1,0,0
2.13,41.13,0.81,84.13,47.9,30.59,55.67,6.2,0,0,1
2.66,99.63,7.4,52.85,44.45,33.93,82.92,9.48,1,0,1
2.43,85.06,4.85,94.29,87.85,59.19,39.78,7.89,0,1,1
1.26,41.06,4.66,81.32,36.49,77.32,65.64,8.82,2,0,0
3.51,77.65,3.0,86.33,65.9,63.33,27.74,5.64,3,1,1
3.71,37.22,5.88,80.47,66.44,92.83,92.32,6.68,1,1,1
1.59,85.06,4.88,55.09,70.19,33.09,86.5,9.46,0,1,1
2.75,86.95,5.24,49.81,92.0,53.81,64.33,4.31,0,0,1
1.5,74.16,6.31,59.58,73.67,54.59,77.93,6.42,3,1,1
3.08,90.7,0.56,36.79,98.15,53.81,32.79,8.68,1,1,1
1.99,41.36,9.58,61.59,90.99,64.14,88.39,8.46,1,1,1
3.05,52.94,1.21,33.02,45.03,85.34,78.64,9.11,0,1,1
3.24,61.92,5.01,30.28,46.88,52.25,34.0,8.44,2,0,1
3.35,37.76,2.57,95.2,54.13,82.11,98.55,9.68,0,0,1
1.5,64.13,5.74,78.25,57.41,40.25,26.69,6.99,3,0,1
3.76,52.24,3.3,69.33,68.71,69.25,72.14,7.75,0,1,1
1.84,60.53,9.1,53.88,46.28,56.26,37.88,9.09,0,0,0
1.3,62.63,4.46,69.94,45.56,67.74,78.94,8.21,2,0,1
2.75,92.16,6.89,92.41,56.7,37.54,30.28,4.61,1,1,1
2.24,52.57,2.99,75.67,77.04,96.74,31.08,6.2,2,0,0
3.52,93.09,0.69,72.17,78.17,93.43,59.97,7.32,0,1,1
3.46,62.69,4.54,62.21,98.33,87.85,99.55,8.53,3,1,1
2.09,56.31,5.86,54.2,44.17,92.49,45.74,7.26,1,0,0
3.87,67.66,5.1,78.9,57.5,40.27,70.94,8.67,3,1,1
2.01,62.15,10.12,98.67,97.53,65.26,63.89,9.03,3,1,1
2.64,51.73,7.57,59.73,78.3,52.25,88.16,5.59,2,0,1
1.92,67.67,10.46,57.45,71.46,92.12,46.64,7.7,1,1,1
3.82,44.87,3.45,59.97,67.78,43.26,66.62,7.34,1,0,1
1.66,57.88,8.39,59.79,35.29,45.4,96.3,5.36,2,0,1
1.33,71.78,6.06,99.34,92.54,78.07,49.94,6.94,0,0,0
2.42,61.87,6.62,79.47,73.79,36.22,57.96,7.29,0,1,1
3.98,88.55,10.36,55.14,70.02,81.27,91.66,8.9,2,1,1
3.7,51.69,7.04,56.01,67.77,48.77,49.94,6.77,0,1,1
3.3,98.04,9.49,60.16,57.43,76.27,53.55,4.49,1,1,1
3.69,86.01,7.76,32.57,47.83,91.11,47.81,6.92,2,0,1
3.7,97.89,1.77,66.95,82.87,72.67,85.71,9.03,1,0,1
2.65,89.48,7.49,86.8,65.67,44.89,94.78,7.43,3,0,1
2.08,44.24,5.34,76.24,32.38,33.44,72.33,5.91,3,1,1
3.36,69.22,9.69,43.89,57.94,33.12,71.77,9.53,0,0,1
3.05,46.05,8.57,80.96,95.0,36.22,54.25,4.93,0,1,1
2.25,88.18,1.54,80.36,56.17,70.59,25.94,5.96,3,1,1
1.46,72.97,1.84,48.38,58.93,54.38,38.05,6.62,0,0,0
3.29,52.12,1.2,73.6,73.68,47.02,36.06,8.43,1,0,0
1.93,95.42,5.43,72.77,86.12,45.35,33.69,9.01,3,1,1
3.82,42.49,1.31,88.79,76.79,96.4,74.05,4.35,2,0,1
1.87,71.65,7.74,39.53,89.5,38.32,35.23,8.75,1,1,1
1.54,81.87,6.02,43.64,37.98,51.34,31.42,8.32,0,1,0
3.53,38.83,8.86,64.02,94.72,63.0,53.69,9.37,1,0,1
1.63,73.86,3.3,33.09,93.27,30.03,43.68,9.4,2,0,0
1.7,88.03,5.69,59.09,66.34,94.47,35.94,8.67,0,1,0
2.88,39.39,1.67,85.18,73.73,36.94,35.96,5.14,2,1,1
3.65,68.3,9.35,40.41,44.9,77.77,44.22,5.88,1,1,1
1.75,51.81,2.25,62.2,61.36,74.02,65.26,9.62,1,1,1
2.07,78.09,1.52,99.28,44.19,86.63,81.86,7.59,3,1,1
3.38,42.71,2.55,65.41,31.54,75.6,88.96,7.23,3,0,1
3.92,95.91,8.56,64.88,98.66,83.86,81.36,9.49,2,0,1
2.6,93.16,1.56,69.12,48.14,59.49,72.12,9.25,2,0,1
1.6,47.09,6.64,43.02,71.52,64.21,93.07,8.36,1,1,0
1.24,56.01,7.96,40.3,51.02,79.12,63.98,9.29,0,0,0
1.84,73.2,8.01,77.41,55.94,69.79,72.5,4.68,1,1,1
1.57,81.67,2.4,57.7,57.84,65.81,55.87,8.55,0,1,1
3.1,63.77,1.12,50.29,53.45,44.39,49.55,9.79,1,1,1
1.54,45.16,4.99,32.2,74.62,48.07,49.88,4.29,1,1,0
2.62,41.77,2.52,89.22,97.27,55.09,36.12,5.34,2,0,0
3.14,99.98,7.49,32.26,60.0,30.65,84.74,8.76,1,1,1
2.83,64.6,4.07,82.5,98.13,59.22,29.15,7.12,1,1,0
1.76,91.71,4.99,56.74,76.75,30.19,75.6,4.52,2,1,1
3.45,66.35,1.63,71.91,72.5,69.55,89.83,5.61,0,1,1
3.2,94.95,6.18,47.34,46.6,79.28,62.31,5.94,0,1,1
3.27,40.7,2.36,40.88,34.4,69.35,30.27,5.93,2,0,1
1.57,42.41,7.29,67.34,89.64,78.55,57.13,9.27,2,1,0
1.55,95.43,1.21,78.69,70.18,30.0,50.74,7.97,3,0,0
3.8,96.59,10.26,43.68,59.01,34.16,98.92,8.41,2,0,1
2.31,55.46,7.35,60.55,86.84,78.89,76.84,4.08,3,1,1
2.04,58.09,2.32,61.13,51.74,86.2,79.1,6.57,2,1,0
2.57,64.41,0.64,45.12,84.85,80.24,63.69,5.91,3,1,1
3.06,62.05,3.84,69.55,52.96,76.41,78.21,9.11,0,0,1
3.88,47.35,2.03,40.22,94.46,79.52,79.19,9.72,2,1,0
2.0,93.39,2.68,65.68,48.76,81.77,29.98,6.54,3,1,1
3.79,51.46,9.23,37.94,39.63,80.71,41.7,9.84,3,0,1
1.27,80.84,6.53,63.99,78.87,81.66,25.97,4.09,1,1,0
2.75,39.37,2.26,51.81,41.4,35.18,63.24,5.95,3,1,0
2.98,37.52,6.07,61.66,96.46,34.43,90.68,8.65,1,1,1
1.5,77.49,3.06,60.36,75.89,55.28,70.72,6.16,0,0,1
1.59,57.04,10.26,93.56,46.16,66.93,62.52,9.53,3,1,1
2.37,77.6,0.83,64.3,44.62,83.38,94.45,5.31,1,1,0
3.91,41.11,7.82,87.29,94.67,53.43,37.92,8.77,0,1,1
2.87,96.74,8.23,45.8,72.55,49.26,30.6,5.21,0,0,1
3.81,83.65,1.17,54.65,92.56,84.7,93.8,5.18,0,0,1
3.45,91.96,2.22,35.26,37.72,47.45,92.71,6.67,3,0,1
2.51,43.87,4.34,59.45,94.78,87.46,76.22,9.67,3,1,1
3.4,55.81,9.18,76.81,66.4,42.4,43.45,7.51,3,1,1
1.25,58.94,5.87,88.67,76.79,55.16,97.73,7.81,0,1,0
1.51,69.92,7.05,69.61,56.1,58.08,82.4,4.06,3,1,0
3.52,54.3,8.33,74.81,34.14,50.97,75.54,4.34,2,1,1
3.43,38.94,8.78,42.41,97.06,30.23,41.72,4.4,1,0,1
1.85,58.98,5.26,32.6,99.62,46.49,63.48,8.92,2,1,1
2.69,51.55,5.59,85.42,55.52,53.64,86.69,5.42,3,0,1
2.9,60.08,7.68,41.69,96.07,51.95,89.52,5.97,1,0,1
3.63,47.8,3.13,36.38,41.74,84.99,67.11,7.66,0,1,1
2.89,52.02,9.04,95.63,40.83,33.32,64.21,7.5,3,1,1
2.36,75.75,0.71,97.45,35.12,57.23,77.33,6.46,0,1,1
2.25,60.23,2.46,73.14,57.39,32.63,64.62,4.03,0,0,0
2.39,57.45,8.5,56.5,33.66,95.15,56.33,6.7,2,0,1
3.03,69.7,3.9,88.33,57.63,85.31,31.41,8.43,3,0,1
3.63,85.17,2.0,44.33,39.69,98.75,34.45,5.41,3,1,1
2.47,59.63,2.37,60.06,81.14,93.71,82.02,8.25,3,1,0
1.89,73.19,5.81,54.99,88.34,52.11,26.85,4.09,3,0,0
1.86,97.8,8.96,93.89,78.15,78.41,28.92,9.45,0,1,1
3.29,68.93,1.21,94.38,44.03,51.46,92.85,9.7,1,1,1
3.49,94.14,0.8,75.56,83.68,92.17,77.8,4.01,2,0,1
1.49,86.59,5.15,37.75,47.47,58.75,25.32,6.75,1,0,0
1.39,38.82,10.06,63.75,83.16,56.31,48.4,6.48,2,1,1
2.86,62.89,3.29,47.17,69.72,93.98,82.25,9.05,1,0,1
1.61,80.39,10.09,91.94,55.67,88.57,56.32,7.24,1,0,1
3.51,99.14,9.38,39.69,35.84,97.65,60.16,7.67,0,1,1
2.07,64.79,3.33,33.8,87.93,34.65,59.41,5.22,2,0,0
1.6,41.03,8.67,79.31,95.78,47.03,40.16,4.46,3,0,0
3.78,71.53,7.36,61.73,76.61,51.06,79.1,8.15,3,1,1
1.66,43.23,5.62,88.69,97.52,59.7,32.73,7.72,1,1,0
2.0,83.85,4.73,35.22,95.39,63.12,63.04,8.99,2,1,1
1.63,68.0,8.66,86.08,43.62,50.4,37.75,9.07,0,0,0
1.52,82.02,8.43,32.61,81.18,85.33,28.49,7.79,2,1,1
1.26,91.51,8.07,31.96,54.45,45.63,35.74,7.23,1,0,1
1.36,75.88,10.48,62.29,64.13,78.76,90.2,9.48,3,0,1
1.69,74.81,5.29,45.49,40.99,89.62,38.21,8.81,2,1,1
1.35,84.05,8.57,71.56,98.23,72.26,45.88,9.29,0,0,1
2.86,89.76,9.12,31.81,80.83,54.79,35.36,9.98,3,1,1
3.11,91.49,2.62,32.48,48.68,43.15,80.17,6.42,2,0,1
2.3,37.37,0.92,80.9,56.0,39.4,58.41,8.3,0,0,0
2.09,71.15,4.55,44.71,59.57,82.09,95.77,8.13,1,1,0
2.61,49.06,9.07,75.95,82.33,62.84,74.82,5.04,0,1,1
3.65,90.92,3.39,82.49,94.8,33.24,64.85,7.82,1,1,1
3.58,77.15,7.5,34.15,52.5,98.87,74.25,6.57,3,0,1
1.32,62.31,0.57,83.88,63.08,76.99,28.03,6.7,3,1,0
1.71,47.23,4.05,48.79,71.52,89.09,96.3,5.08,2,1,1
1.86,57.04,6.66,57.27,57.53,60.67,96.73,8.47,1,1,0
1.9,80.75,1.8,36.06,65.29,96.88,45.71,8.19,1,0,0
2.8,48.28,9.47,88.7,37.4,43.97,72.12,7.19,3,0,1
2.37,41.08,2.06,69.25,41.74,42.96,40.14,4.94,0,1,0
1.34,92.72,9.6,65.33,58.08,92.32,66.06,7.34,3,0,0
2.25,84.67,2.66,97.8,94.05,92.42,82.81,4.6,3,0,1
2.67,47.99,10.44,53.42,54.46,64.93,95.49,6.04,3,1,1
1.48,54.0,6.55,92.35,47.49,38.81,50.44,6.23,2,1,1
3.53,98.18,1.34,80.38,82.0,51.37,77.01,9.3,3,1,1
1.35,81.03,1.15,95.0,96.44,82.79,78.73,6.49,0,1,1
3.79,74.68,1.25,93.55,62.14,89.22,41.59,7.59,3,0,1
1.48,55.0,6.4,99.37,30.6,54.34,72.18,9.25,0,1,0
3.56,54.44,8.6,39.22,78.17,34.29,74.16,6.55,0,0,1
3.73,37.57,4.53,85.72,59.05,76.6,82.31,9.3,0,0,1
3.94,82.35,4.95,86.31,77.16,81.76,100.0,4.82,2,0,1
3.45,37.81,6.39,75.11,49.44,59.68,28.02,6.19,0,0,1
3.38,35.32,5.83,49.52,30.17,70.82,40.17,4.57,2,1,0
3.0,82.42,7.38,97.56,54.11,99.12,35.88,7.37,0,0,1
3.38,96.68,5.22,44.31,79.34,47.15,36.58,9.74,2,1,1
1.58,84.17,7.64,64.97,57.52,70.11,59.07,7.94,0,1,1
2.7,65.66,10.47,66.5,45.34,72.77,90.89,7.76,2,1,1
2.64,66.59,4.0,41.33,62.48,68.44,58.65,5.67,0,0,0
3.6,63.35,0.62,80.58,82.66,90.84,75.14,9.59,3,1,1
2.5,56.1,1.76,36.22,38.36,72.35,53.24,6.83,1,1,0
2.28,68.91,6.04,78.52,78.42,65.55,48.97,5.6,2,0,1
2.99,63.02,3.94,89.4,76.71,38.61,87.57,9.93,1,0,1
1.95,73.88,9.9,54.46,55.95,79.22,74.17,6.54,2,0,1
1.59,93.38,6.77,79.66,97.92,39.25,51.32,6.23,1,1,1
2.54,99.68,5.7,40.97,92.63,31.86,93.56,4.21,0,0,1
2.37,40.12,8.48,89.22,52.13,64.2,62.39,5.07,3,1,1
1.85,60.0,3.09,96.64,32.18,70.07,39.12,8.86,2,0,1
2.23,46.75,8.7,40.69,51.58,99.93,61.24,6.9,1,1,0
2.23,57.89,0.53,78.43,44.33,79.86,75.6,9.73,0,0,0
2.12,53.69,6.7,65.41,68.31,89.4,52.53,4.5,3,1,1
2.26,46.34,9.85,67.2,94.31,54.25,88.28,7.7,1,0,1
3.12,84.66,8.38,79.45,90.92,65.62,64.99,8.32,3,1,1
2.03,67.26,9.04,64.21,51.41,98.2,60.08,7.73,3,0,1
3.86,94.75,4.47,72.02,60.0,59.22,89.4,7.18,3,1,1
3.77,37.12,8.74,46.16,32.56,86.51,59.72,7.47,2,1,1
2.55,39.35,6.01,56.5,68.09,66.82,56.08,8.14,0,1,1
2.12,61.21,6.69,90.57,34.44,45.68,32.78,9.18,0,0,1
2.7,40.22,1.09,37.69,95.7,70.63,52.19,6.02,0,1,0
3.58,52.08,2.52,71.83,90.69,45.26,54.78,6.76,1,0,1
3.03,99.09,6.01,42.9,44.99,30.21,38.55,7.82,2,0,1
3.45,48.58,1.09,89.26,78.96,46.51,69.09,5.89,3,0,1
2.69,47.88,7.91,70.53,69.76,43.52,35.79,5.07,0,0,0
2.97,72.29,8.9,58.21,86.1,55.96,41.78,9.8,2,1,1
2.01,67.37,9.7,47.49,63.3,92.2,67.08,5.17,0,1,0
3.26,72.73,1.52,60.58,43.42,57.15,45.17,5.4,1,1,1
1.77,59.49,9.9,97.03,74.79,89.16,72.98,7.71,0,1,1
3.15,88.74,1.18,65.64,35.62,68.89,76.79,4.46,1,1,1
3.61,44.01,5.24,62.86,70.92,30.53,47.6,4.2,2,0,1
1.57,62.85,8.9,82.24,44.89,43.21,31.55,4.38,2,1,1
2.92,79.83,1.2,56.53,77.95,95.19,61.71,4.74,3,0,1
1.47,91.44,0.68,59.92,87.96,72.29,31.97,6.58,2,0,1
3.23,59.02,0.75,53.59,37.67,95.07,63.64,8.98,1,1,0
1.44,71.9,5.61,40.56,58.02,51.71,79.47,6.05,3,1,0
3.82,39.49,8.62,79.97,81.35,80.16,71.52,6.57,3,0,1
1.58,46.07,1.77,91.11,41.46,84.04,58.62,7.6,3,1,0
3.88,39.49,1.75,93.39,69.66,98.3,95.94,5.81,3,1,1
3.44,82.31,6.19,91.66,77.03,31.27,32.63,6.6,3,0,1
2.86,53.72,2.84,61.62,54.84,96.66,91.0,6.32,0,1,1
3.39,82.04,7.8,49.88,88.24,57.41,85.01,6.05,2,1,1
3.43,39.32,10.0,74.65,65.75,88.66,56.48,6.33,1,0,1
3.85,91.07,8.16,96.83,73.89,68.13,36.47,4.07,1,0,1
1.91,89.31,9.27,80.89,39.86,69.53,36.69,9.32,0,0,1
2.85,40.78,5.7,64.64,31.62,55.16,94.14,9.86,0,1,1
1.47,36.54,8.82,78.22,33.55,87.99,42.53,9.17,3,0,1
2.93,38.66,2.33,84.08,93.27,48.48,90.56,4.03,3,1,1
1.68,90.49,1.18,94.35,91.78,64.46,62.75,8.51,2,0,0
2.78,50.26,7.06,83.43,86.53,69.21,59.63,7.44,0,1,0
2.8,70.64,1.02,60.32,43.97,81.98,71.46,4.57,2,1,0
2.5,62.71,9.42,49.15,66.78,63.01,41.13,9.6,0,0,1
2.66,86.71,7.42,64.99,85.73,77.62,57.13,8.66,2,1,1
3.34,66.78,10.02,52.97,77.23,63.97,95.39,4.87,0,1,1
3.44,67.54,3.64,95.99,38.09,76.15,42.87,9.78,1,1,1
2.58,99.29,5.36,65.56,92.69,77.19,94.12,4.76,0,1,1
2.88,44.76,7.92,63.04,41.25,79.66,99.57,6.73,3,0,1
3.81,89.0,2.93,54.37,42.03,87.63,28.89,4.95,2,1,1
1.54,38.36,5.92,74.76,93.07,67.85,64.85,4.9,3,1,1
1.53,66.05,7.09,66.4,63.92,43.53,37.89,9.81,0,0,0
1.45,92.61,10.29,39.03,56.1,77.57,71.63,7.43,2,0,1
3.04,78.24,7.95,90.84,68.76,35.4,99.22,5.56,1,0,1
